source_file,json_path,title,year,num_scenes,avg_scene_chars,status,method,error
selected_transcripts2/A Belfast Story _2013_ - full transcript.txt,processed3_transcripts/a-belfast-story-2013-full-transcript-txt.json,A Belfast Story,2013,14.0,2158.0,ok,punct_chunk_2200,
selected_transcripts2/A Beautiful Mind _2001_ - full transcript.txt,processed3_transcripts/a-beautiful-mind-2001-full-transcript-txt.json,A Beautiful Mind,2001,22.0,2295.0,ok,punct_chunk_2200,
selected_transcripts2/About Time _2013_ - full transcript.txt,processed3_transcripts/about-time-2013-full-transcript-txt.json,About Time,2013,25.0,2257.0,ok,punct_chunk_2200,
selected_transcripts2/A Clockwork Orange _1971_ - full transcript.txt,processed3_transcripts/a-clockwork-orange-1971-full-transcript-txt.json,A Clockwork Orange,1971,26.0,2231.0,ok,punct_chunk_2200,
selected_transcripts2/Antichrist _2009_ - full transcript.txt,processed3_transcripts/antichrist-2009-full-transcript-txt.json,Antichrist,2009,51.0,333.0,ok,headings_or_brackets,
selected_transcripts2/American History X _1998_ - full transcript.txt,processed3_transcripts/american-history-x-1998-full-transcript-txt.json,American History X,1998,39.0,1671.0,ok,headings_or_brackets,
selected_transcripts2/Arrival _2016_ - full transcript.txt,processed3_transcripts/arrival-2016-full-transcript-txt.json,Arrival,2016,18.0,2187.0,ok,punct_chunk_2200,
selected_transcripts2/Atonement _2007_ - full transcript.txt,processed3_transcripts/atonement-2007-full-transcript-txt.json,Atonement,2007,15.0,2311.0,ok,punct_chunk_2200,
selected_transcripts2/Anchorman 2 The Legend Continues _2013_ - full transcript.txt,processed3_transcripts/anchorman-2-the-legend-continues-2013-full-transcript-txt.json,Anchorman 2 The Legend Continues,2013,35.0,2246.0,ok,punct_chunk_2200,
selected_transcripts2/Austin Powers International Man of Mystery _1997_ - full transcript.txt,processed3_transcripts/austin-powers-international-man-of-mystery-1997-full-transcript-txt.json,Austin Powers International Man of Mystery,1997,19.0,2293.0,ok,punct_chunk_2200,
selected_transcripts2/Big Fish _2003_ - full transcript.txt,processed3_transcripts/big-fish-2003-full-transcript-txt.json,Big Fish,2003,1.0,426.0,ok,single_or_short,
selected_transcripts2/Bad Boys _1983_ - full transcript.txt,processed3_transcripts/bad-boys-1983-full-transcript-txt.json,Bad Boys,1983,13.0,2162.0,ok,punct_chunk_2200,
selected_transcripts2/Billy Elliot _2000_ - full transcript.txt,processed3_transcripts/billy-elliot-2000-full-transcript-txt.json,Billy Elliot,2000,13.0,2292.0,ok,punct_chunk_2200,
selected_transcripts2/Baby Doll _1956_ - full transcript.txt,processed3_transcripts/baby-doll-1956-full-transcript-txt.json,Baby Doll,1956,26.0,2231.0,ok,punct_chunk_2200,
selected_transcripts2/Back to the Future _1985_ - full transcript.txt,processed3_transcripts/back-to-the-future-1985-full-transcript-txt.json,Back to the Future,1985,24.0,2291.0,ok,punct_chunk_2200,
selected_transcripts2/Black Swan _2010_ - full transcript.txt,processed3_transcripts/black-swan-2010-full-transcript-txt.json,Black Swan,2010,13.0,2195.0,ok,punct_chunk_2200,
selected_transcripts2/Blue Velvet _1986_ - full transcript.txt,processed3_transcripts/blue-velvet-1986-full-transcript-txt.json,Blue Velvet,1986,14.0,2275.0,ok,punct_chunk_2200,
selected_transcripts2/Blue Valentine _2010_ - full transcript.txt,processed3_transcripts/blue-valentine-2010-full-transcript-txt.json,Blue Valentine,2010,19.0,2220.0,ok,punct_chunk_2200,
selected_transcripts2/Brazil _1985_ - full transcript.txt,processed3_transcripts/brazil-1985-full-transcript-txt.json,Brazil,1985,12.0,2139.0,ok,punct_chunk_2200,
selected_transcripts2/Borat Subsequent Moviefilm _2020_ - full transcript.txt,processed3_transcripts/borat-subsequent-moviefilm-2020-full-transcript-txt.json,Borat Subsequent Moviefilm,2020,123.0,474.0,ok,headings_or_brackets,
selected_transcripts2/Brokeback Mountain _2005_ - full transcript.txt,processed3_transcripts/brokeback-mountain-2005-full-transcript-txt.json,Brokeback Mountain,2005,18.0,2199.0,ok,punct_chunk_2200,
selected_transcripts2/Bridesmaids _2011_ - full transcript.txt,processed3_transcripts/bridesmaids-2011-full-transcript-txt.json,Bridesmaids,2011,35.0,2267.0,ok,punct_chunk_2200,
selected_transcripts2/Boyhood _2014_ - full transcript.txt,processed3_transcripts/boyhood-2014-full-transcript-txt.json,Boyhood,2014,44.0,2315.0,ok,punct_chunk_2200,
selected_transcripts2/Cannibal Holocaust _1980_ - full transcript.txt,processed3_transcripts/cannibal-holocaust-1980-full-transcript-txt.json,Cannibal Holocaust,1980,13.0,2226.0,ok,punct_chunk_2200,
selected_transcripts2/Casino Royale _2006_ - full transcript.txt,processed3_transcripts/casino-royale-2006-full-transcript-txt.json,Casino Royale,2006,16.0,2182.0,ok,punct_chunk_2200,
